--UPenn beam model (double gaussian)--
# physical proton base data for a generic beam line with a single gauss lateral beam profile
# created by MaW on 06-Jan-2022

Nozzle exit to Isocenter distance
1126.0

SMX to Isocenter distance
7884.0

SMY to Isocenter distance
7884.0

Beam parameters
8 energies

NominalEnergy	MeanEnergy	EnergySpread	ProtonsMU	Weight1	SpotSize1x	Divergence1x	Correlation1x	SpotSize1y	Divergence1y	Correlation1y	Weight2	SpotSize2x	Divergence2x	Correlation2x	SpotSize2y	Divergence2y	Correlation2y	
108.63	108.35	0.334455	1e+06	1	4.964	0.00145607	0.982352	4.964	0.00145607	0.982352	0	0	0	0	0	0	0	
114.65	114.454	0.324882	1e+06	1	4.70767	0.00138102	0.982351	4.70767	0.00138102	0.982351	0	0	0	0	0	0	0	
120.44	120.337	0.332932	1e+06	1	4.48245	0.00131621	0.982343	4.48245	0.00131621	0.982343	0	0	0	0	0	0	0	
126.04	126.01	0.347032	1e+06	1	4.29142	0.00125882	0.982352	4.29142	0.00125882	0.982352	0	0	0	0	0	0	0	
131.47	131.513	0.321477	1e+06	1	4.1318	0.00121139	0.982356	4.1318	0.00121139	0.982356	0	0	0	0	0	0	0	
136.74	136.853	0.34811	1e+06	1	3.97213	0.00116401	0.982361	3.97213	0.00116401	0.982361	0	0	0	0	0	0	0	
141.87	142.034	0.331752	1e+06	1	3.84382	0.00112662	0.982359	3.84382	0.00112662	0.982359	0	0	0	0	0	0	0	
146.87	147.098	0.348434	1e+06	1	3.71537	0.00108936	0.982356	3.71537	0.00108936	0.982356	0	0	0	0	0	0	0	
